epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
53,3155.13,0.88357,1.89801,0.0963,0.59135,0.01147,6.38854,0.5486,0.6235,0.59186,0.30881,0.44712,0.37223,0.33768,0.18882,1.34776,3.04134,0.13849,1.26526,0.01643,0,0.000539057,0.000539057,0.000539057
54,3219.64,0.88085,1.86767,0.09738,0.57973,0.01118,6.15031,0.57837,0.62394,0.58862,0.31552,0.3602,0.40058,0.31723,0.17865,1.36385,3.19237,0.13846,1.41781,0.01651,0,0.000528058,0.000528058,0.000528058
55,3284.12,0.90748,1.82549,0.09653,0.58272,0.01123,6.09294,0.70355,0.46183,0.58949,0.31824,0.59204,0.38489,0.31306,0.16584,1.36612,3.13952,0.14354,1.32274,0.01709,0,0.000517059,0.000517059,0.000517059
56,3348.45,0.89016,1.9119,0.09538,0.5858,0.01116,6.27636,0.58813,0.55224,0.5643,0.30252,0.3904,0.40535,0.32094,0.16853,1.35002,3.16085,0.14755,1.30857,0.01625,0,0.00050606,0.00050606,0.00050606
57,3412.98,0.87265,1.86169,0.09773,0.57299,0.01078,6.06652,0.59351,0.58689,0.60346,0.32459,0.42333,0.40881,0.35772,0.20132,1.32654,3.04577,0.14162,1.26635,0.01613,0,0.000495062,0.000495062,0.000495062
58,3461.98,0.86803,1.8708,0.09581,0.57077,0.01075,6.10232,0.49769,0.6074,0.57837,0.30387,0.39705,0.40806,0.34102,0.21024,1.34857,3.01647,0.13997,1.29277,0.01619,0,0.000484063,0.000484063,0.000484063
59,3500.79,0.87051,1.82432,0.09708,0.57147,0.0113,6.11307,0.5583,0.5991,0.57641,0.30593,0.40828,0.39712,0.33095,0.19569,1.31937,2.99081,0.14808,1.30774,0.01598,0,0.000473064,0.000473064,0.000473064
60,3539.36,0.87414,1.75961,0.09761,0.57387,0.01122,5.88492,0.53699,0.59886,0.59471,0.32152,0.63425,0.39233,0.35548,0.20789,1.34514,3.02527,0.13746,1.32193,0.01626,0,0.000462065,0.000462065,0.000462065
61,3601.47,0.84956,1.74048,0.09743,0.5496,0.01066,5.77604,0.56895,0.57039,0.55609,0.29305,0.39373,0.36891,0.2832,0.15225,1.34602,3.16721,0.1384,1.29065,0.01633,0,0.000451066,0.000451066,0.000451066
62,3666.02,0.85062,1.74424,0.09449,0.54652,0.01037,5.68439,0.54371,0.63041,0.59733,0.32202,0.4226,0.39416,0.34435,0.19259,1.32782,3.00577,0.14286,1.32203,0.0162,0,0.000440067,0.000440067,0.000440067
