epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
37,940.057,1.14067,2.59125,0.10479,0.69063,0.01077,6.43862,0.66917,0.63482,0.6376,0.34638,0.60347,0.57549,0.49645,0.30407,1.38342,3.18577,0.15182,1.20318,0.01416,0,0.00071504,0.00071504,0.00071504
38,963.181,1.10059,2.4433,0.10707,0.65173,0.01099,6.37686,0.71768,0.61223,0.67958,0.36346,0.62306,0.51332,0.54712,0.31457,1.38678,3.21865,0.16195,1.11227,0.01393,0,0.000704041,0.000704041,0.000704041
39,988.948,1.10441,2.43739,0.10875,0.65143,0.01108,6.47134,0.71932,0.69316,0.68632,0.39527,0.64792,0.59887,0.53019,0.32494,1.37972,3.00582,0.15734,1.10659,0.01422,0,0.000693042,0.000693042,0.000693042
40,1014.29,1.11945,2.36437,0.10385,0.66272,0.01026,5.96017,0.70871,0.69157,0.66143,0.36142,0.63776,0.59337,0.50525,0.30179,1.37344,3.02911,0.15929,1.11152,0.01382,0,0.000682043,0.000682043,0.000682043
41,1037.52,1.10958,2.43478,0.10082,0.64571,0.01069,6.23091,0.67433,0.61386,0.62889,0.34436,0.57516,0.56781,0.46096,0.25178,1.35972,3.14982,0.153,1.1817,0.01338,0,0.000671044,0.000671044,0.000671044
42,1061.24,1.1351,2.61448,0.11192,0.66433,0.01115,6.38477,0.68633,0.64134,0.63471,0.34473,0.63614,0.58034,0.51154,0.30542,1.38778,3.0341,0.15627,1.24106,0.01391,0,0.000660045,0.000660045,0.000660045
43,1084.63,1.10817,2.4267,0.10185,0.66073,0.00979,5.93928,0.71738,0.63805,0.63242,0.36061,0.62696,0.57495,0.48418,0.26252,1.34827,3.10885,0.15596,1.16017,0.01351,0,0.000649046,0.000649046,0.000649046
44,1108.39,1.11329,2.40594,0.11009,0.61472,0.00972,5.76186,0.69456,0.62531,0.62879,0.35022,0.60662,0.5444,0.48653,0.2909,1.37284,3.00734,0.15508,1.17278,0.01343,0,0.000638047,0.000638047,0.000638047
45,1131.75,1.08206,2.25909,0.10281,0.58305,0.0099,5.69205,0.70215,0.60811,0.61631,0.33462,0.60134,0.49693,0.43411,0.22759,1.35694,3.17869,0.16505,1.15446,0.01378,0,0.000627048,0.000627048,0.000627048
46,1154.99,1.05758,2.18715,0.10589,0.57489,0.00998,5.49599,0.74558,0.65383,0.69041,0.39183,0.64719,0.59401,0.50968,0.30153,1.36594,3.08869,0.16058,1.167,0.01372,0,0.000616049,0.000616049,0.000616049
47,1179.03,1.02127,2.20777,0.10015,0.56044,0.00988,5.53229,0.72777,0.6152,0.68859,0.38324,0.62537,0.57755,0.54273,0.32857,1.33372,2.97851,0.14756,1.07324,0.0132,0,0.000605051,0.000605051,0.000605051
48,1202.69,1.04587,2.16079,0.10618,0.55573,0.00919,5.3247,0.67074,0.66828,0.68931,0.38472,0.59997,0.58454,0.54775,0.3434,1.32949,2.8825,0.15572,1.10172,0.01339,0,0.000594052,0.000594052,0.000594052
49,1227.8,1.05758,2.18148,0.09735,0.55619,0.00911,5.28301,0.72911,0.63916,0.68438,0.37893,0.65105,0.56137,0.53662,0.33739,1.34642,2.95522,0.15115,1.20018,0.01324,0,0.000583053,0.000583053,0.000583053
50,1251.54,1.04273,2.15141,0.1183,0.56154,0.00938,5.17728,0.73089,0.6647,0.69326,0.38223,0.63847,0.59591,0.53593,0.3365,1.3222,2.97027,0.14916,1.17434,0.01316,0,0.000572054,0.000572054,0.000572054
51,1275.27,0.99797,2.13311,0.10549,0.53496,0.00981,5.40644,0.70954,0.66069,0.65345,0.36721,0.64908,0.60138,0.52054,0.33012,1.3377,2.94483,0.16804,1.14182,0.01316,0,0.000561055,0.000561055,0.000561055
52,1299.18,0.99807,2.20462,0.10444,0.54781,0.00903,5.32503,0.68758,0.64523,0.63389,0.3611,0.60072,0.58074,0.50744,0.32124,1.32232,2.89135,0.16221,1.15999,0.0132,0,0.000550056,0.000550056,0.000550056
53,1322.84,0.99083,2.06124,0.11305,0.52796,0.00902,5.05115,0.69508,0.65539,0.64929,0.36843,0.6663,0.61394,0.52881,0.30075,1.31146,2.92978,0.1562,1.12002,0.01289,0,0.000539057,0.000539057,0.000539057
54,1346.53,0.95123,1.97788,0.09718,0.49912,0.00934,5.05424,0.73381,0.65256,0.67231,0.37941,0.64649,0.58746,0.52469,0.32613,1.31511,2.89233,0.16005,1.1684,0.01308,0,0.000528058,0.000528058,0.000528058
55,1370.32,0.93275,1.84702,0.10608,0.48517,0.00876,4.64373,0.73664,0.63287,0.66125,0.37071,0.66972,0.57972,0.53011,0.32639,1.33222,2.88596,0.16083,1.1437,0.01334,0,0.000517059,0.000517059,0.000517059
56,1394.23,0.9602,1.95407,0.09561,0.5283,0.00829,4.72022,0.73791,0.65774,0.70078,0.38772,0.65683,0.59492,0.53821,0.30961,1.33147,3.01162,0.15509,1.17465,0.01313,0,0.00050606,0.00050606,0.00050606
57,1417.21,0.97314,1.96458,0.10108,0.50336,0.00814,4.47702,0.7809,0.63828,0.69945,0.40011,0.68986,0.5837,0.55798,0.35042,1.30689,2.78182,0.16039,1.15624,0.01283,0,0.000495062,0.000495062,0.000495062
58,1442.74,0.93554,1.94912,0.10689,0.50428,0.00782,4.60059,0.75718,0.5879,0.63786,0.37318,0.61983,0.5741,0.52657,0.31793,1.29998,2.8343,0.15718,1.14407,0.01267,0,0.000484063,0.000484063,0.000484063
59,1466.21,0.95243,1.94295,0.11118,0.51444,0.00933,4.83332,0.77433,0.62331,0.67549,0.39619,0.66701,0.58935,0.55199,0.34036,1.30425,2.85321,0.15628,1.18961,0.0126,0,0.000473064,0.000473064,0.000473064
60,1489.23,0.91213,1.89969,0.10159,0.4833,0.0082,4.48731,0.68564,0.65796,0.66187,0.38419,0.61724,0.58881,0.52589,0.34315,1.31928,2.8522,0.15473,1.22949,0.01273,0,0.000462065,0.000462065,0.000462065
61,1512.41,0.91672,1.82137,0.09866,0.45792,0.00862,4.54715,0.75347,0.63727,0.68759,0.38692,0.67668,0.57372,0.55786,0.34768,1.31146,2.849,0.16198,1.18449,0.01268,0,0.000451066,0.000451066,0.000451066
62,1536.4,0.92805,1.92906,0.10032,0.46627,0.00738,4.33522,0.78047,0.66966,0.71821,0.40518,0.69578,0.58528,0.564,0.35554,1.31727,2.85342,0.16215,1.12625,0.01275,0,0.000440067,0.000440067,0.000440067
63,1562.22,0.88852,1.85854,0.09855,0.45384,0.00775,4.32284,0.7724,0.65152,0.70603,0.40282,0.65688,0.5934,0.53702,0.35349,1.32816,2.8849,0.16676,1.11469,0.01275,0,0.000429068,0.000429068,0.000429068
64,1586.03,0.90987,1.97506,0.10204,0.4875,0.0081,4.61894,0.7375,0.64865,0.69538,0.40039,0.62379,0.60338,0.54597,0.34387,1.2916,2.89454,0.1653,1.11367,0.01263,0,0.000418069,0.000418069,0.000418069
65,1609.22,0.88255,1.78066,0.09719,0.43941,0.00738,3.99338,0.78183,0.63193,0.69795,0.40102,0.69303,0.53503,0.53425,0.31289,1.30247,2.84667,0.16693,1.13407,0.01256,0,0.00040707,0.00040707,0.00040707
66,1632.9,0.88578,1.86264,0.10758,0.44124,0.00786,4.37391,0.7568,0.67038,0.69792,0.40173,0.66578,0.58252,0.5365,0.35604,1.30194,2.85412,0.15951,1.1571,0.01248,0,0.000396071,0.000396071,0.000396071
67,1656.6,0.88258,1.8514,0.1015,0.43309,0.00722,4.04,0.75314,0.6675,0.69692,0.39725,0.68793,0.5752,0.53764,0.35862,1.2857,2.81207,0.15943,1.1239,0.01246,0,0.000385073,0.000385073,0.000385073
68,1680.41,0.85706,1.78747,0.09921,0.41857,0.00749,4.1362,0.7642,0.6401,0.6826,0.39385,0.64942,0.59419,0.533,0.34234,1.29591,2.80853,0.16328,1.16596,0.01251,0,0.000374074,0.000374074,0.000374074
69,1703.95,0.84317,1.74869,0.10603,0.43707,0.00724,4.00305,0.80207,0.6422,0.71984,0.41673,0.72171,0.56197,0.55144,0.37772,1.29425,2.81723,0.16481,1.1661,0.01246,0,0.000363075,0.000363075,0.000363075
70,1730.48,0.84824,1.72111,0.08885,0.4115,0.00773,3.82833,0.77541,0.65638,0.70576,0.39919,0.69372,0.57935,0.54833,0.36226,1.29051,2.8125,0.15496,1.16804,0.01251,0,0.000352076,0.000352076,0.000352076
71,1753.32,0.83121,1.78859,0.10424,0.41041,0.00771,4.05568,0.79588,0.61098,0.67993,0.39372,0.69619,0.56002,0.5343,0.3598,1.31474,2.83907,0.16271,1.14945,0.01296,0,0.000341077,0.000341077,0.000341077
72,1777.12,0.83354,1.61424,0.09509,0.41469,0.00749,3.69128,0.79199,0.6469,0.71266,0.41198,0.73783,0.5546,0.55165,0.33323,1.30763,2.8677,0.1652,1.11064,0.01267,0,0.000330078,0.000330078,0.000330078
73,1801.32,0.80684,1.74198,0.09411,0.39702,0.00654,3.56225,0.77051,0.65178,0.69469,0.40344,0.68111,0.57682,0.53148,0.33655,1.30171,2.90035,0.16199,1.12974,0.01257,0,0.000319079,0.000319079,0.000319079
74,1825.26,0.83306,1.82484,0.09904,0.41388,0.00671,3.89326,0.77608,0.63731,0.68502,0.39538,0.68321,0.578,0.54193,0.35105,1.31285,2.83991,0.16872,1.15941,0.01271,0,0.00030808,0.00030808,0.00030808
75,1849,0.79725,1.60262,0.09374,0.39163,0.00686,3.58712,0.78497,0.65186,0.69643,0.3981,0.70459,0.56649,0.53692,0.34717,1.29708,2.82224,0.16829,1.15672,0.01245,0,0.000297081,0.000297081,0.000297081
76,1872.52,0.81095,1.7092,0.10244,0.41191,0.00656,3.4774,0.78511,0.64201,0.69619,0.3993,0.7037,0.56956,0.54849,0.36867,1.30528,2.82287,0.16151,1.16571,0.01266,0,0.000286083,0.000286083,0.000286083
77,1895.89,0.77661,1.56486,0.09811,0.37213,0.0073,3.45108,0.80354,0.65094,0.6986,0.40784,0.70199,0.56299,0.53549,0.34664,1.29998,2.8048,0.16666,1.1726,0.0123,0,0.000275084,0.000275084,0.000275084
